state,N,emissions [tCO2e],emissions_per_capita [tCO2e]
MD,892,1757.0680542730706,1.969807235732142
NY,668,1357.3802427800972,2.0320063514672113
MA,594,1284.5326435234101,2.1625128678845287
TX,762,925.3483688380169,1.2143679381076338
CO,1094,827.0138340644736,0.7559541444830654
VA,384,745.8826606807347,1.9424027621894133
DC,320,628.8123967448341,1.9650387398276066
FL,308,590.7562636465769,1.9180398170343407
PA,285,550.8766439643806,1.9329005051381776
MI,321,521.4414383541908,1.624428156866638
NJ,236,484.23828957264993,2.051857159206144
NC,212,403.4678133867378,1.9031500631449898
IL,270,400.335834325583,1.4827253123169741
NH,166,356.06184869157414,2.144950895732374
AL,209,338.9340004461429,1.6216937820389612
CA,3161,337.08781419385497,0.10663961220938152
IN,184,285.06335643431225,1.54925737192561
OH,168,284.3586578422708,1.6926110585849454
AK,160,270.42159277166303,1.6901349548228939
TN,156,256.860483556357,1.6465415612586987
WI,158,225.39359760747783,1.4265417570093533
RI,103,223.11261588267183,2.166141901773513
GA,125,217.37284734314147,1.7389827787451317
MN,170,217.14549264417508,1.2773264273186768
CT,102,216.5091349509121,2.1226385779501187
WA,493,210.41192828800047,0.42679904318052836
AZ,428,193.44858623582772,0.4519826781210928
NM,297,175.62598947760657,0.5913332979043993
HI,91,175.2061734361929,1.925342565232889
LA,92,137.4973186671079,1.4945360724685641
SC,73,135.82800426749765,1.8606575927054472
OK,117,131.75387763883688,1.126101518280657
DE,64,128.80662073799184,2.0126034490311224
IA,98,128.52838175943728,1.3115140995860948
MO,93,124.53948536577906,1.339134251244936
KS,84,97.68903644761373,1.1629647196144492
ME,37,82.57311443288349,2.2317057954833373
OR,263,81.87925214239803,0.31132795491406096
PR,24,67.63316417350751,2.8180485072294794
MS,42,64.14376088290453,1.5272324019739174
UT,160,63.0393013893522,0.39399563368345125
VT,25,51.811823670118656,2.072472946804746
NE,40,45.03397568042062,1.1258493920105155
SD,41,43.87750200680211,1.0701829757756611
MT,87,43.56217608255717,0.5007146676155997
ID,108,41.60950171332543,0.38527316401227246
KY,25,41.12917979704431,1.6451671918817723
WV,20,36.6972532006306,1.8348626600315299
WY,58,34.45817225561673,0.5941064182002884
ND,27,31.305290725761715,1.1594552120652486
AR,22,28.25316212957471,1.284234642253396
NV,105,8.66572786680325,0.08253074158860238
